Poles, Width, Points, Ratio
Run 104: (10, 0.01, 27, 0.02113157894736842)
Run 105: (10, 0.01, 27, 0.02638947368421053)
Run 106: (10, 0.01, 27, 0.03164736842105263)
Run 107: (10, 0.01, 27, 0.03690526315789474)
Run 108: (10, 0.01, 27, 0.04216315789473685)
Run 109: (10, 0.01, 27, 0.047421052631578954)
Run 110: (10, 0.01, 27, 0.05267894736842106)
Run 111: (10, 0.01, 27, 0.05793684210526316)
Run 112: (10, 0.01, 27, 0.06319473684210526)
Run 113: (10, 0.01, 27, 0.06845263157894738)
Run 114: (10, 0.01, 27, 0.07371052631578948)
Run 115: (10, 0.01, 27, 0.07896842105263159)
Run 116: (10, 0.01, 27, 0.08422631578947369)
Run 117: (10, 0.01, 27, 0.08948421052631579)
Run 118: (10, 0.01, 27, 0.0947421052631579)
Run 119: (10, 0.01, 27, 0.1)
Run 120: (10, 0.01, 32, 0.0001)
Run 121: (10, 0.01, 32, 0.005357894736842106)
Run 122: (10, 0.01, 32, 0.01061578947368421)
Run 123: (10, 0.01, 32, 0.015873684210526314)
Run 124: (10, 0.01, 32, 0.02113157894736842)
Run 125: (10, 0.01, 32, 0.02638947368421053)
Run 126: (10, 0.01, 32, 0.03164736842105263)
Run 127: (10, 0.01, 32, 0.03690526315789474)
Run 128: (10, 0.01, 32, 0.04216315789473685)
Run 129: (10, 0.01, 32, 0.047421052631578954)
Run 130: (10, 0.01, 32, 0.05267894736842106)
Run 131: (10, 0.01, 32, 0.05793684210526316)
Run 132: (10, 0.01, 32, 0.06319473684210526)
Run 133: (10, 0.01, 32, 0.06845263157894738)
Run 134: (10, 0.01, 32, 0.07371052631578948)
Run 135: (10, 0.01, 32, 0.07896842105263159)
Run 136: (10, 0.01, 32, 0.08422631578947369)
Run 137: (10, 0.01, 32, 0.08948421052631579)
Run 138: (10, 0.01, 32, 0.0947421052631579)
Run 139: (10, 0.01, 32, 0.1)
Run 140: (10, 0.01, 37, 0.0001)
Run 141: (10, 0.01, 37, 0.005357894736842106)
Run 142: (10, 0.01, 37, 0.01061578947368421)
Run 143: (10, 0.01, 37, 0.015873684210526314)
Run 144: (10, 0.01, 37, 0.02113157894736842)
Run 145: (10, 0.01, 37, 0.02638947368421053)
Run 146: (10, 0.01, 37, 0.03164736842105263)
Run 147: (10, 0.01, 37, 0.03690526315789474)
Run 148: (10, 0.01, 37, 0.04216315789473685)
Run 149: (10, 0.01, 37, 0.047421052631578954)
Run 150: (10, 0.01, 37, 0.05267894736842106)
Run 151: (10, 0.01, 37, 0.05793684210526316)
Run 152: (10, 0.01, 37, 0.06319473684210526)
Run 153: (10, 0.01, 37, 0.06845263157894738)
Run 154: (10, 0.01, 37, 0.07371052631578948)
Run 155: (10, 0.01, 37, 0.07896842105263159)
Run 156: (10, 0.01, 37, 0.08422631578947369)
Run 157: (10, 0.01, 37, 0.08948421052631579)
Run 158: (10, 0.01, 37, 0.0947421052631579)
Run 159: (10, 0.01, 37, 0.1)
Run 160: (10, 0.01, 42, 0.0001)
Run 161: (10, 0.01, 42, 0.005357894736842106)
Run 162: (10, 0.01, 42, 0.01061578947368421)
Run 163: (10, 0.01, 42, 0.015873684210526314)
Run 164: (10, 0.01, 42, 0.02113157894736842)
Run 165: (10, 0.01, 42, 0.02638947368421053)
Run 166: (10, 0.01, 42, 0.03164736842105263)
Run 167: (10, 0.01, 42, 0.03690526315789474)
Run 168: (10, 0.01, 42, 0.04216315789473685)
Run 169: (10, 0.01, 42, 0.047421052631578954)
Run 170: (10, 0.01, 42, 0.05267894736842106)
Run 171: (10, 0.01, 42, 0.05793684210526316)
Run 172: (10, 0.01, 42, 0.06319473684210526)
Run 173: (10, 0.01, 42, 0.06845263157894738)
Run 174: (10, 0.01, 42, 0.07371052631578948)
Run 175: (10, 0.01, 42, 0.07896842105263159)
Run 176: (10, 0.01, 42, 0.08422631578947369)
Run 177: (10, 0.01, 42, 0.08948421052631579)
Run 178: (10, 0.01, 42, 0.0947421052631579)
Run 179: (10, 0.01, 42, 0.1)
Run 180: (10, 0.01, 47, 0.0001)
Run 181: (10, 0.01, 47, 0.005357894736842106)
Run 182: (10, 0.01, 47, 0.01061578947368421)
Run 183: (10, 0.01, 47, 0.015873684210526314)
Run 184: (10, 0.01, 47, 0.02113157894736842)
Run 185: (10, 0.01, 47, 0.02638947368421053)
Run 186: (10, 0.01, 47, 0.03164736842105263)
Run 187: (10, 0.01, 47, 0.03690526315789474)
Run 188: (10, 0.01, 47, 0.04216315789473685)
Run 189: (10, 0.01, 47, 0.047421052631578954)
Run 190: (10, 0.01, 47, 0.05267894736842106)
Run 191: (10, 0.01, 47, 0.05793684210526316)
Run 192: (10, 0.01, 47, 0.06319473684210526)
Run 193: (10, 0.01, 47, 0.06845263157894738)
Run 194: (10, 0.01, 47, 0.07371052631578948)
Run 195: (10, 0.01, 47, 0.07896842105263159)
Run 196: (10, 0.01, 47, 0.08422631578947369)
Run 197: (10, 0.01, 47, 0.08948421052631579)
Run 198: (10, 0.01, 47, 0.0947421052631579)
Run 199: (10, 0.01, 47, 0.1)
Run 200: (10, 0.01, 52, 0.0001)
Run 201: (10, 0.01, 52, 0.005357894736842106)
Run 202: (10, 0.01, 52, 0.01061578947368421)
Run 203: (10, 0.01, 52, 0.015873684210526314)
Run 204: (10, 0.01, 52, 0.02113157894736842)
Run 205: (10, 0.01, 52, 0.02638947368421053)
Run 206: (10, 0.01, 52, 0.03164736842105263)
Run 207: (10, 0.01, 52, 0.03690526315789474)
Run 208: (10, 0.01, 52, 0.04216315789473685)
Run 209: (10, 0.01, 52, 0.047421052631578954)
Run 210: (10, 0.01, 52, 0.05267894736842106)
Run 211: (10, 0.01, 52, 0.05793684210526316)
Run 212: (10, 0.01, 52, 0.06319473684210526)
Run 213: (10, 0.01, 52, 0.06845263157894738)
Run 214: (10, 0.01, 52, 0.07371052631578948)
Run 215: (10, 0.01, 52, 0.07896842105263159)
Run 216: (10, 0.01, 52, 0.08422631578947369)
Run 217: (10, 0.01, 52, 0.08948421052631579)
Run 218: (10, 0.01, 52, 0.0947421052631579)
Run 219: (10, 0.01, 52, 0.1)
Run 220: (10, 0.01, 57, 0.0001)
Run 221: (10, 0.01, 57, 0.005357894736842106)
Run 222: (10, 0.01, 57, 0.01061578947368421)
Run 223: (10, 0.01, 57, 0.015873684210526314)
Run 224: (10, 0.01, 57, 0.02113157894736842)
Run 225: (10, 0.01, 57, 0.02638947368421053)
Run 226: (10, 0.01, 57, 0.03164736842105263)
Run 227: (10, 0.01, 57, 0.03690526315789474)
Run 228: (10, 0.01, 57, 0.04216315789473685)
Run 229: (10, 0.01, 57, 0.047421052631578954)
Run 230: (10, 0.01, 57, 0.05267894736842106)
Run 231: (10, 0.01, 57, 0.05793684210526316)
Run 232: (10, 0.01, 57, 0.06319473684210526)
Run 233: (10, 0.01, 57, 0.06845263157894738)
Run 234: (10, 0.01, 57, 0.07371052631578948)
Run 235: (10, 0.01, 57, 0.07896842105263159)
Run 236: (10, 0.01, 57, 0.08422631578947369)
Run 237: (10, 0.01, 57, 0.08948421052631579)
Run 238: (10, 0.01, 57, 0.0947421052631579)
Run 239: (10, 0.01, 57, 0.1)
Run 240: (10, 0.01, 62, 0.0001)
Run 241: (10, 0.01, 62, 0.005357894736842106)
Run 242: (10, 0.01, 62, 0.01061578947368421)
Run 243: (10, 0.01, 62, 0.015873684210526314)
Run 244: (10, 0.01, 62, 0.02113157894736842)
Run 245: (10, 0.01, 62, 0.02638947368421053)
Run 246: (10, 0.01, 62, 0.03164736842105263)
Run 247: (10, 0.01, 62, 0.03690526315789474)
Run 248: (10, 0.01, 62, 0.04216315789473685)
Run 249: (10, 0.01, 62, 0.047421052631578954)
Run 250: (10, 0.01, 62, 0.05267894736842106)
Run 251: (10, 0.01, 62, 0.05793684210526316)
Run 252: (10, 0.01, 62, 0.06319473684210526)
Run 253: (10, 0.01, 62, 0.06845263157894738)
