Poles, Width, Points, Ratio
Run 0: (16, 0.01, 2, 0.0001)
Run 1: (16, 0.01, 2, 0.005357894736842106)
Run 2: (16, 0.01, 2, 0.01061578947368421)
Run 3: (16, 0.01, 2, 0.015873684210526314)
Run 4: (16, 0.01, 2, 0.02113157894736842)
Run 5: (16, 0.01, 2, 0.02638947368421053)
Run 6: (16, 0.01, 2, 0.03164736842105263)
Run 7: (16, 0.01, 2, 0.03690526315789474)
Run 8: (16, 0.01, 2, 0.04216315789473685)
Run 9: (16, 0.01, 2, 0.047421052631578954)
Run 10: (16, 0.01, 2, 0.05267894736842106)
Run 11: (16, 0.01, 2, 0.05793684210526316)
Run 12: (16, 0.01, 2, 0.06319473684210526)
Run 13: (16, 0.01, 2, 0.06845263157894738)
Run 14: (16, 0.01, 2, 0.07371052631578948)
Run 15: (16, 0.01, 2, 0.07896842105263159)
Run 16: (16, 0.01, 2, 0.08422631578947369)
Run 17: (16, 0.01, 2, 0.08948421052631579)
Run 18: (16, 0.01, 2, 0.0947421052631579)
Run 19: (16, 0.01, 2, 0.1)
Run 20: (16, 0.01, 7, 0.0001)
Run 21: (16, 0.01, 7, 0.005357894736842106)
Run 22: (16, 0.01, 7, 0.01061578947368421)
Run 23: (16, 0.01, 7, 0.015873684210526314)
Run 24: (16, 0.01, 7, 0.02113157894736842)
Run 25: (16, 0.01, 7, 0.02638947368421053)
Run 26: (16, 0.01, 7, 0.03164736842105263)
Run 27: (16, 0.01, 7, 0.03690526315789474)
Run 28: (16, 0.01, 7, 0.04216315789473685)
Run 29: (16, 0.01, 7, 0.047421052631578954)
Run 30: (16, 0.01, 7, 0.05267894736842106)
Run 31: (16, 0.01, 7, 0.05793684210526316)
Run 32: (16, 0.01, 7, 0.06319473684210526)
Run 33: (16, 0.01, 7, 0.06845263157894738)
Run 34: (16, 0.01, 7, 0.07371052631578948)
Run 35: (16, 0.01, 7, 0.07896842105263159)
Run 36: (16, 0.01, 7, 0.08422631578947369)
Run 37: (16, 0.01, 7, 0.08948421052631579)
Run 38: (16, 0.01, 7, 0.0947421052631579)
Run 39: (16, 0.01, 7, 0.1)
Run 40: (16, 0.01, 12, 0.0001)
Run 41: (16, 0.01, 12, 0.005357894736842106)
Run 42: (16, 0.01, 12, 0.01061578947368421)
Run 43: (16, 0.01, 12, 0.015873684210526314)
Run 44: (16, 0.01, 12, 0.02113157894736842)
Run 45: (16, 0.01, 12, 0.02638947368421053)
