Poles, Width, Points, Ratio
Run 46: (16, 0.01, 12, 0.03164736842105263)
Run 47: (16, 0.01, 12, 0.03690526315789474)
Run 48: (16, 0.01, 12, 0.04216315789473685)
Run 49: (16, 0.01, 12, 0.047421052631578954)
Run 50: (16, 0.01, 12, 0.05267894736842106)
Run 51: (16, 0.01, 12, 0.05793684210526316)
Run 52: (16, 0.01, 12, 0.06319473684210526)
Run 53: (16, 0.01, 12, 0.06845263157894738)
Run 54: (16, 0.01, 12, 0.07371052631578948)
Run 55: (16, 0.01, 12, 0.07896842105263159)
Run 56: (16, 0.01, 12, 0.08422631578947369)
Run 57: (16, 0.01, 12, 0.08948421052631579)
Run 58: (16, 0.01, 12, 0.0947421052631579)
Run 59: (16, 0.01, 12, 0.1)
Run 60: (16, 0.01, 17, 0.0001)
Run 61: (16, 0.01, 17, 0.005357894736842106)
Run 62: (16, 0.01, 17, 0.01061578947368421)
Run 63: (16, 0.01, 17, 0.015873684210526314)
Run 64: (16, 0.01, 17, 0.02113157894736842)
Run 65: (16, 0.01, 17, 0.02638947368421053)
Run 66: (16, 0.01, 17, 0.03164736842105263)
Run 67: (16, 0.01, 17, 0.03690526315789474)
Run 68: (16, 0.01, 17, 0.04216315789473685)
Run 69: (16, 0.01, 17, 0.047421052631578954)
Run 70: (16, 0.01, 17, 0.05267894736842106)
Run 71: (16, 0.01, 17, 0.05793684210526316)
Run 72: (16, 0.01, 17, 0.06319473684210526)
Run 73: (16, 0.01, 17, 0.06845263157894738)
Run 74: (16, 0.01, 17, 0.07371052631578948)
Run 75: (16, 0.01, 17, 0.07896842105263159)
Run 76: (16, 0.01, 17, 0.08422631578947369)
Run 77: (16, 0.01, 17, 0.08948421052631579)
Run 78: (16, 0.01, 17, 0.0947421052631579)
Run 79: (16, 0.01, 17, 0.1)
Run 80: (16, 0.01, 22, 0.0001)
Run 81: (16, 0.01, 22, 0.005357894736842106)
Run 82: (16, 0.01, 22, 0.01061578947368421)
Run 83: (16, 0.01, 22, 0.015873684210526314)
Run 84: (16, 0.01, 22, 0.02113157894736842)
Run 85: (16, 0.01, 22, 0.02638947368421053)
Run 86: (16, 0.01, 22, 0.03164736842105263)
Run 87: (16, 0.01, 22, 0.03690526315789474)
Run 88: (16, 0.01, 22, 0.04216315789473685)
Run 89: (16, 0.01, 22, 0.047421052631578954)
Run 90: (16, 0.01, 22, 0.05267894736842106)
Run 91: (16, 0.01, 22, 0.05793684210526316)
Run 92: (16, 0.01, 22, 0.06319473684210526)
Run 93: (16, 0.01, 22, 0.06845263157894738)
Run 94: (16, 0.01, 22, 0.07371052631578948)
Run 95: (16, 0.01, 22, 0.07896842105263159)
Run 96: (16, 0.01, 22, 0.08422631578947369)
Run 97: (16, 0.01, 22, 0.08948421052631579)
Run 98: (16, 0.01, 22, 0.0947421052631579)
Run 99: (16, 0.01, 22, 0.1)
Run 100: (16, 0.01, 27, 0.0001)
Run 101: (16, 0.01, 27, 0.005357894736842106)
Run 102: (16, 0.01, 27, 0.01061578947368421)
Run 103: (16, 0.01, 27, 0.015873684210526314)
Run 104: (16, 0.01, 27, 0.02113157894736842)
Run 105: (16, 0.01, 27, 0.02638947368421053)
Run 106: (16, 0.01, 27, 0.03164736842105263)
Run 107: (16, 0.01, 27, 0.03690526315789474)
Run 108: (16, 0.01, 27, 0.04216315789473685)
Run 109: (16, 0.01, 27, 0.047421052631578954)
Run 110: (16, 0.01, 27, 0.05267894736842106)
Run 111: (16, 0.01, 27, 0.05793684210526316)
Run 112: (16, 0.01, 27, 0.06319473684210526)
Run 113: (16, 0.01, 27, 0.06845263157894738)
Run 114: (16, 0.01, 27, 0.07371052631578948)
Run 115: (16, 0.01, 27, 0.07896842105263159)
Run 116: (16, 0.01, 27, 0.08422631578947369)
Run 117: (16, 0.01, 27, 0.08948421052631579)
Run 118: (16, 0.01, 27, 0.0947421052631579)
Run 119: (16, 0.01, 27, 0.1)
Run 120: (16, 0.01, 32, 0.0001)
Run 121: (16, 0.01, 32, 0.005357894736842106)
Run 122: (16, 0.01, 32, 0.01061578947368421)
Run 123: (16, 0.01, 32, 0.015873684210526314)
Run 124: (16, 0.01, 32, 0.02113157894736842)
Run 125: (16, 0.01, 32, 0.02638947368421053)
Run 126: (16, 0.01, 32, 0.03164736842105263)
Run 127: (16, 0.01, 32, 0.03690526315789474)
Run 128: (16, 0.01, 32, 0.04216315789473685)
Run 129: (16, 0.01, 32, 0.047421052631578954)
Run 130: (16, 0.01, 32, 0.05267894736842106)
Run 131: (16, 0.01, 32, 0.05793684210526316)
Run 132: (16, 0.01, 32, 0.06319473684210526)
Run 133: (16, 0.01, 32, 0.06845263157894738)
Run 134: (16, 0.01, 32, 0.07371052631578948)
Run 135: (16, 0.01, 32, 0.07896842105263159)
Run 136: (16, 0.01, 32, 0.08422631578947369)
Run 137: (16, 0.01, 32, 0.08948421052631579)
Run 138: (16, 0.01, 32, 0.0947421052631579)
Run 139: (16, 0.01, 32, 0.1)
Run 140: (16, 0.01, 37, 0.0001)
Run 141: (16, 0.01, 37, 0.005357894736842106)
Run 142: (16, 0.01, 37, 0.01061578947368421)
Run 143: (16, 0.01, 37, 0.015873684210526314)
Run 144: (16, 0.01, 37, 0.02113157894736842)
Run 145: (16, 0.01, 37, 0.02638947368421053)
Run 146: (16, 0.01, 37, 0.03164736842105263)
Run 147: (16, 0.01, 37, 0.03690526315789474)
Run 148: (16, 0.01, 37, 0.04216315789473685)
Run 149: (16, 0.01, 37, 0.047421052631578954)
Run 150: (16, 0.01, 37, 0.05267894736842106)
Run 151: (16, 0.01, 37, 0.05793684210526316)
Run 152: (16, 0.01, 37, 0.06319473684210526)
Run 153: (16, 0.01, 37, 0.06845263157894738)
Run 154: (16, 0.01, 37, 0.07371052631578948)
Run 155: (16, 0.01, 37, 0.07896842105263159)
Run 156: (16, 0.01, 37, 0.08422631578947369)
Run 157: (16, 0.01, 37, 0.08948421052631579)
Run 158: (16, 0.01, 37, 0.0947421052631579)
Run 159: (16, 0.01, 37, 0.1)
Run 160: (16, 0.01, 42, 0.0001)
Run 161: (16, 0.01, 42, 0.005357894736842106)
Run 162: (16, 0.01, 42, 0.01061578947368421)
Run 163: (16, 0.01, 42, 0.015873684210526314)
Run 164: (16, 0.01, 42, 0.02113157894736842)
Run 165: (16, 0.01, 42, 0.02638947368421053)
Run 166: (16, 0.01, 42, 0.03164736842105263)
Run 167: (16, 0.01, 42, 0.03690526315789474)
Run 168: (16, 0.01, 42, 0.04216315789473685)
Run 169: (16, 0.01, 42, 0.047421052631578954)
Run 170: (16, 0.01, 42, 0.05267894736842106)
Run 171: (16, 0.01, 42, 0.05793684210526316)
Run 172: (16, 0.01, 42, 0.06319473684210526)
Run 173: (16, 0.01, 42, 0.06845263157894738)
Run 174: (16, 0.01, 42, 0.07371052631578948)
Run 175: (16, 0.01, 42, 0.07896842105263159)
Run 176: (16, 0.01, 42, 0.08422631578947369)
Run 177: (16, 0.01, 42, 0.08948421052631579)
Run 178: (16, 0.01, 42, 0.0947421052631579)
Run 179: (16, 0.01, 42, 0.1)
Run 180: (16, 0.01, 47, 0.0001)
Run 181: (16, 0.01, 47, 0.005357894736842106)
Run 182: (16, 0.01, 47, 0.01061578947368421)
Run 183: (16, 0.01, 47, 0.015873684210526314)
Run 184: (16, 0.01, 47, 0.02113157894736842)
Run 185: (16, 0.01, 47, 0.02638947368421053)
Run 186: (16, 0.01, 47, 0.03164736842105263)
Run 187: (16, 0.01, 47, 0.03690526315789474)
Run 188: (16, 0.01, 47, 0.04216315789473685)
Run 189: (16, 0.01, 47, 0.047421052631578954)
Run 190: (16, 0.01, 47, 0.05267894736842106)
Run 191: (16, 0.01, 47, 0.05793684210526316)
Run 192: (16, 0.01, 47, 0.06319473684210526)
Run 193: (16, 0.01, 47, 0.06845263157894738)
Run 194: (16, 0.01, 47, 0.07371052631578948)
Run 195: (16, 0.01, 47, 0.07896842105263159)
Run 196: (16, 0.01, 47, 0.08422631578947369)
Run 197: (16, 0.01, 47, 0.08948421052631579)
Run 198: (16, 0.01, 47, 0.0947421052631579)
Run 199: (16, 0.01, 47, 0.1)
Run 200: (16, 0.01, 52, 0.0001)
Run 201: (16, 0.01, 52, 0.005357894736842106)
Run 202: (16, 0.01, 52, 0.01061578947368421)
Run 203: (16, 0.01, 52, 0.015873684210526314)
Run 204: (16, 0.01, 52, 0.02113157894736842)
Run 205: (16, 0.01, 52, 0.02638947368421053)
Run 206: (16, 0.01, 52, 0.03164736842105263)
Run 207: (16, 0.01, 52, 0.03690526315789474)
Run 208: (16, 0.01, 52, 0.04216315789473685)
Run 209: (16, 0.01, 52, 0.047421052631578954)
Run 210: (16, 0.01, 52, 0.05267894736842106)
Run 211: (16, 0.01, 52, 0.05793684210526316)
Run 212: (16, 0.01, 52, 0.06319473684210526)
Run 213: (16, 0.01, 52, 0.06845263157894738)
Run 214: (16, 0.01, 52, 0.07371052631578948)
Run 215: (16, 0.01, 52, 0.07896842105263159)
Run 216: (16, 0.01, 52, 0.08422631578947369)
Run 217: (16, 0.01, 52, 0.08948421052631579)
Run 218: (16, 0.01, 52, 0.0947421052631579)
Run 219: (16, 0.01, 52, 0.1)
Run 220: (16, 0.01, 57, 0.0001)
Run 221: (16, 0.01, 57, 0.005357894736842106)
Run 222: (16, 0.01, 57, 0.01061578947368421)
Run 223: (16, 0.01, 57, 0.015873684210526314)
Run 224: (16, 0.01, 57, 0.02113157894736842)
Run 225: (16, 0.01, 57, 0.02638947368421053)
Run 226: (16, 0.01, 57, 0.03164736842105263)
Run 227: (16, 0.01, 57, 0.03690526315789474)
Run 228: (16, 0.01, 57, 0.04216315789473685)
Run 229: (16, 0.01, 57, 0.047421052631578954)
Run 230: (16, 0.01, 57, 0.05267894736842106)
Run 231: (16, 0.01, 57, 0.05793684210526316)
Run 232: (16, 0.01, 57, 0.06319473684210526)
Run 233: (16, 0.01, 57, 0.06845263157894738)
Run 234: (16, 0.01, 57, 0.07371052631578948)
Run 235: (16, 0.01, 57, 0.07896842105263159)
Run 236: (16, 0.01, 57, 0.08422631578947369)
Run 237: (16, 0.01, 57, 0.08948421052631579)
Run 238: (16, 0.01, 57, 0.0947421052631579)
Run 239: (16, 0.01, 57, 0.1)
Run 240: (16, 0.01, 62, 0.0001)
Run 241: (16, 0.01, 62, 0.005357894736842106)
Run 242: (16, 0.01, 62, 0.01061578947368421)
Run 243: (16, 0.01, 62, 0.015873684210526314)
Run 244: (16, 0.01, 62, 0.02113157894736842)
Run 245: (16, 0.01, 62, 0.02638947368421053)
Run 246: (16, 0.01, 62, 0.03164736842105263)
Run 247: (16, 0.01, 62, 0.03690526315789474)
Run 248: (16, 0.01, 62, 0.04216315789473685)
Run 249: (16, 0.01, 62, 0.047421052631578954)
Run 250: (16, 0.01, 62, 0.05267894736842106)
Run 251: (16, 0.01, 62, 0.05793684210526316)
Run 252: (16, 0.01, 62, 0.06319473684210526)
Run 253: (16, 0.01, 62, 0.06845263157894738)
Run 254: (16, 0.01, 62, 0.07371052631578948)
Run 255: (16, 0.01, 62, 0.07896842105263159)
Run 256: (16, 0.01, 62, 0.08422631578947369)
Run 257: (16, 0.01, 62, 0.08948421052631579)
Run 258: (16, 0.01, 62, 0.0947421052631579)
Run 259: (16, 0.01, 62, 0.1)
Run 260: (16, 0.01, 67, 0.0001)
Run 261: (16, 0.01, 67, 0.005357894736842106)
Run 262: (16, 0.01, 67, 0.01061578947368421)
Run 263: (16, 0.01, 67, 0.015873684210526314)
Run 264: (16, 0.01, 67, 0.02113157894736842)
Run 265: (16, 0.01, 67, 0.02638947368421053)
Run 266: (16, 0.01, 67, 0.03164736842105263)
Run 267: (16, 0.01, 67, 0.03690526315789474)
Run 268: (16, 0.01, 67, 0.04216315789473685)
Run 269: (16, 0.01, 67, 0.047421052631578954)
Run 270: (16, 0.01, 67, 0.05267894736842106)
Run 271: (16, 0.01, 67, 0.05793684210526316)
Run 272: (16, 0.01, 67, 0.06319473684210526)
Run 273: (16, 0.01, 67, 0.06845263157894738)
Run 274: (16, 0.01, 67, 0.07371052631578948)
Run 275: (16, 0.01, 67, 0.07896842105263159)
Run 276: (16, 0.01, 67, 0.08422631578947369)
Run 277: (16, 0.01, 67, 0.08948421052631579)
Run 278: (16, 0.01, 67, 0.0947421052631579)
Run 279: (16, 0.01, 67, 0.1)
Run 280: (16, 0.01, 72, 0.0001)
Run 281: (16, 0.01, 72, 0.005357894736842106)
Run 282: (16, 0.01, 72, 0.01061578947368421)
Run 283: (16, 0.01, 72, 0.015873684210526314)
Run 284: (16, 0.01, 72, 0.02113157894736842)
Run 285: (16, 0.01, 72, 0.02638947368421053)
Run 286: (16, 0.01, 72, 0.03164736842105263)
Run 287: (16, 0.01, 72, 0.03690526315789474)
Run 288: (16, 0.01, 72, 0.04216315789473685)
Run 289: (16, 0.01, 72, 0.047421052631578954)
Run 290: (16, 0.01, 72, 0.05267894736842106)
Run 291: (16, 0.01, 72, 0.05793684210526316)
Run 292: (16, 0.01, 72, 0.06319473684210526)
Run 293: (16, 0.01, 72, 0.06845263157894738)
Run 294: (16, 0.01, 72, 0.07371052631578948)
Run 295: (16, 0.01, 72, 0.07896842105263159)
Run 296: (16, 0.01, 72, 0.08422631578947369)
Run 297: (16, 0.01, 72, 0.08948421052631579)
Run 298: (16, 0.01, 72, 0.0947421052631579)
Run 299: (16, 0.01, 72, 0.1)
Run 300: (16, 0.01, 77, 0.0001)
Run 301: (16, 0.01, 77, 0.005357894736842106)
Run 302: (16, 0.01, 77, 0.01061578947368421)
Run 303: (16, 0.01, 77, 0.015873684210526314)
Run 304: (16, 0.01, 77, 0.02113157894736842)
Run 305: (16, 0.01, 77, 0.02638947368421053)
Run 306: (16, 0.01, 77, 0.03164736842105263)
Run 307: (16, 0.01, 77, 0.03690526315789474)
Run 308: (16, 0.01, 77, 0.04216315789473685)
Run 309: (16, 0.01, 77, 0.047421052631578954)
Run 310: (16, 0.01, 77, 0.05267894736842106)
Run 311: (16, 0.01, 77, 0.05793684210526316)
Run 312: (16, 0.01, 77, 0.06319473684210526)
Run 313: (16, 0.01, 77, 0.06845263157894738)
Run 314: (16, 0.01, 77, 0.07371052631578948)
Run 315: (16, 0.01, 77, 0.07896842105263159)
Run 316: (16, 0.01, 77, 0.08422631578947369)
Run 317: (16, 0.01, 77, 0.08948421052631579)
Run 318: (16, 0.01, 77, 0.0947421052631579)
Run 319: (16, 0.01, 77, 0.1)
Run 320: (16, 0.01, 82, 0.0001)
Run 321: (16, 0.01, 82, 0.005357894736842106)
Run 322: (16, 0.01, 82, 0.01061578947368421)
Run 323: (16, 0.01, 82, 0.015873684210526314)
Run 324: (16, 0.01, 82, 0.02113157894736842)
Run 325: (16, 0.01, 82, 0.02638947368421053)
Run 326: (16, 0.01, 82, 0.03164736842105263)
Run 327: (16, 0.01, 82, 0.03690526315789474)
Run 328: (16, 0.01, 82, 0.04216315789473685)
Run 329: (16, 0.01, 82, 0.047421052631578954)
Run 330: (16, 0.01, 82, 0.05267894736842106)
Run 331: (16, 0.01, 82, 0.05793684210526316)
Run 332: (16, 0.01, 82, 0.06319473684210526)
Run 333: (16, 0.01, 82, 0.06845263157894738)
Run 334: (16, 0.01, 82, 0.07371052631578948)
Run 335: (16, 0.01, 82, 0.07896842105263159)
Run 336: (16, 0.01, 82, 0.08422631578947369)
Run 337: (16, 0.01, 82, 0.08948421052631579)
Run 338: (16, 0.01, 82, 0.0947421052631579)
Run 339: (16, 0.01, 82, 0.1)
Run 340: (16, 0.01, 87, 0.0001)
Run 341: (16, 0.01, 87, 0.005357894736842106)
Run 342: (16, 0.01, 87, 0.01061578947368421)
Run 343: (16, 0.01, 87, 0.015873684210526314)
Run 344: (16, 0.01, 87, 0.02113157894736842)
Run 345: (16, 0.01, 87, 0.02638947368421053)
Run 346: (16, 0.01, 87, 0.03164736842105263)
Run 347: (16, 0.01, 87, 0.03690526315789474)
Run 348: (16, 0.01, 87, 0.04216315789473685)
Run 349: (16, 0.01, 87, 0.047421052631578954)
Run 350: (16, 0.01, 87, 0.05267894736842106)
Run 351: (16, 0.01, 87, 0.05793684210526316)
Run 352: (16, 0.01, 87, 0.06319473684210526)
Run 353: (16, 0.01, 87, 0.06845263157894738)
Run 354: (16, 0.01, 87, 0.07371052631578948)
Run 355: (16, 0.01, 87, 0.07896842105263159)
Run 356: (16, 0.01, 87, 0.08422631578947369)
Run 357: (16, 0.01, 87, 0.08948421052631579)
Run 358: (16, 0.01, 87, 0.0947421052631579)
Run 359: (16, 0.01, 87, 0.1)
Run 360: (16, 0.01, 92, 0.0001)
Run 361: (16, 0.01, 92, 0.005357894736842106)
Run 362: (16, 0.01, 92, 0.01061578947368421)
Run 363: (16, 0.01, 92, 0.015873684210526314)
Run 364: (16, 0.01, 92, 0.02113157894736842)
Run 365: (16, 0.01, 92, 0.02638947368421053)
Run 366: (16, 0.01, 92, 0.03164736842105263)
Run 367: (16, 0.01, 92, 0.03690526315789474)
Run 368: (16, 0.01, 92, 0.04216315789473685)
Run 369: (16, 0.01, 92, 0.047421052631578954)
Run 370: (16, 0.01, 92, 0.05267894736842106)
Run 371: (16, 0.01, 92, 0.05793684210526316)
Run 372: (16, 0.01, 92, 0.06319473684210526)
Run 373: (16, 0.01, 92, 0.06845263157894738)
Run 374: (16, 0.01, 92, 0.07371052631578948)
Run 375: (16, 0.01, 92, 0.07896842105263159)
Run 376: (16, 0.01, 92, 0.08422631578947369)
Run 377: (16, 0.01, 92, 0.08948421052631579)
Run 378: (16, 0.01, 92, 0.0947421052631579)
Run 379: (16, 0.01, 92, 0.1)
Run 380: (16, 0.01, 97, 0.0001)
Run 381: (16, 0.01, 97, 0.005357894736842106)
Run 382: (16, 0.01, 97, 0.01061578947368421)
Run 383: (16, 0.01, 97, 0.015873684210526314)
Run 384: (16, 0.01, 97, 0.02113157894736842)
Run 385: (16, 0.01, 97, 0.02638947368421053)
Run 386: (16, 0.01, 97, 0.03164736842105263)
Run 387: (16, 0.01, 97, 0.03690526315789474)
Run 388: (16, 0.01, 97, 0.04216315789473685)
Run 389: (16, 0.01, 97, 0.047421052631578954)
Run 390: (16, 0.01, 97, 0.05267894736842106)
Run 391: (16, 0.01, 97, 0.05793684210526316)
Run 392: (16, 0.01, 97, 0.06319473684210526)
Run 393: (16, 0.01, 97, 0.06845263157894738)
Run 394: (16, 0.01, 97, 0.07371052631578948)
Run 395: (16, 0.01, 97, 0.07896842105263159)
Run 396: (16, 0.01, 97, 0.08422631578947369)
Run 397: (16, 0.01, 97, 0.08948421052631579)
Run 398: (16, 0.01, 97, 0.0947421052631579)
Run 399: (16, 0.01, 97, 0.1)
